#    L    TT             EE             TE             PP             TP          
   204   0.742293E+04   0.861848E+00  -0.123370E+02   0.316783E+07   0.306388E+04
   205   0.743623E+04   0.866300E+00  -0.105659E+02   0.315136E+07   0.303757E+04
   206   0.744866E+04   0.872072E+00  -0.876854E+01   0.313503E+07   0.301144E+04
   207   0.746038E+04   0.879198E+00  -0.694568E+01   0.311884E+07   0.298548E+04
   208   0.747116E+04   0.887738E+00  -0.509801E+01   0.310277E+07   0.295970E+04
   209   0.748115E+04   0.897727E+00  -0.322612E+01   0.308683E+07   0.293409E+04
   210   0.749035E+04   0.909225E+00  -0.133111E+01   0.307102E+07   0.290867E+04
   211   0.749876E+04   0.922273E+00   0.586744E+00   0.305534E+07   0.288342E+04
   212   0.750623E+04   0.936911E+00   0.252630E+01   0.303978E+07   0.285836E+04
   213   0.751298E+04   0.953193E+00   0.448740E+01   0.302434E+07   0.283347E+04
   214   0.751887E+04   0.971122E+00   0.646861E+01   0.300903E+07   0.280877E+04
   215   0.752397E+04   0.990901E+00   0.846899E+01   0.299385E+07   0.278424E+04
   216   0.752820E+04   0.101235E+01   0.104888E+02   0.297878E+07   0.275990E+04
   217   0.753171E+04   0.103565E+01   0.125260E+02   0.296384E+07   0.273575E+04
   218   0.753436E+04   0.106080E+01   0.145803E+02   0.294901E+07   0.271178E+04
   219   0.753622E+04   0.108780E+01   0.166527E+02   0.293430E+07   0.268800E+04
   220   0.753729E+04   0.111683E+01   0.187385E+02   0.291971E+07   0.266440E+04
   221   0.753756E+04   0.114781E+01   0.208396E+02   0.290523E+07   0.264099E+04
   222   0.753704E+04   0.118091E+01   0.229544E+02   0.289087E+07   0.261777E+04
   223   0.753558E+04   0.121605E+01   0.250834E+02   0.287662E+07   0.259473E+04
   224   0.753348E+04   0.125326E+01   0.272227E+02   0.286248E+07   0.257189E+04
   225   0.753051E+04   0.129269E+01   0.293750E+02   0.284846E+07   0.254924E+04
   226   0.752674E+04   0.133434E+01   0.315365E+02   0.283454E+07   0.252678E+04
   227   0.752211E+04   0.137824E+01   0.337083E+02   0.282073E+07   0.250451E+04
   228   0.751677E+04   0.142438E+01   0.358888E+02   0.280703E+07   0.248244E+04
   229   0.751062E+04   0.147286E+01   0.380763E+02   0.279344E+07   0.246056E+04
   230   0.750362E+04   0.152368E+01   0.402713E+02   0.277995E+07   0.243887E+04
   231   0.749574E+04   0.157693E+01   0.424729E+02   0.276657E+07   0.241738E+04
   232   0.748714E+04   0.163254E+01   0.446794E+02   0.275329E+07   0.239609E+04
   233   0.747775E+04   0.169076E+01   0.468890E+02   0.274011E+07   0.237499E+04
   234   0.746742E+04   0.175143E+01   0.491024E+02   0.272703E+07   0.235410E+04
   235   0.745637E+04   0.181464E+01   0.513177E+02   0.271405E+07   0.233340E+04
   236   0.744445E+04   0.188041E+01   0.535349E+02   0.270117E+07   0.231290E+04
   237   0.743173E+04   0.194881E+01   0.557522E+02   0.268838E+07   0.229260E+04
   238   0.741822E+04   0.201994E+01   0.579693E+02   0.267570E+07   0.227251E+04
   239   0.740399E+04   0.209365E+01   0.601854E+02   0.266311E+07   0.225262E+04
   240   0.738882E+04   0.217003E+01   0.623980E+02   0.265061E+07   0.223293E+04
   241   0.737300E+04   0.224923E+01   0.646076E+02   0.263820E+07   0.221344E+04
   242   0.735639E+04   0.233113E+01   0.668132E+02   0.262589E+07   0.219416E+04
   243   0.733898E+04   0.241587E+01   0.690133E+02   0.261366E+07   0.217509E+04
   244   0.732077E+04   0.250339E+01   0.712082E+02   0.260153E+07   0.215622E+04
   245   0.730177E+04   0.259379E+01   0.733949E+02   0.258948E+07   0.213756E+04
   246   0.728205E+04   0.268706E+01   0.755746E+02   0.257753E+07   0.211911E+04
   247   0.726161E+04   0.278314E+01   0.777448E+02   0.256565E+07   0.210087E+04
   248   0.724037E+04   0.288242E+01   0.799054E+02   0.255386E+07   0.208284E+04
   249   0.721848E+04   0.298438E+01   0.820553E+02   0.254216E+07   0.206502E+04
   250   0.719580E+04   0.308948E+01   0.841930E+02   0.253054E+07   0.204741E+04
   251   0.717247E+04   0.319744E+01   0.863189E+02   0.251900E+07   0.203001E+04
   252   0.714827E+04   0.330846E+01   0.884313E+02   0.250754E+07   0.201283E+04
   253   0.712358E+04   0.342233E+01   0.905285E+02   0.249616E+07   0.199585E+04
   254   0.709811E+04   0.353933E+01   0.926105E+02   0.248485E+07   0.197907E+04
   255   0.707192E+04   0.365916E+01   0.946769E+02   0.247363E+07   0.196249E+04
   256   0.704511E+04   0.378218E+01   0.967275E+02   0.246249E+07   0.194610E+04
   257   0.701767E+04   0.390795E+01   0.987541E+02   0.245142E+07   0.192991E+04
   258   0.698953E+04   0.403682E+01   0.100769E+03   0.244043E+07   0.191391E+04
   259   0.696077E+04   0.416865E+01   0.102757E+03   0.242952E+07   0.189809E+04
   260   0.693147E+04   0.430343E+01   0.104733E+03   0.241868E+07   0.188245E+04
   261   0.690148E+04   0.444108E+01   0.106675E+03   0.240792E+07   0.186699E+04
