#    L    TT             EE             BB             TE             PP             TP             EP          
   210   0.749176E+04   0.912540E+00   0.228183E-02  -0.131417E+01   0.664012E-07   0.171034E-03  -0.228658E-06
   211   0.750018E+04   0.925540E+00   0.228071E-02   0.602649E+00   0.660591E-07   0.169544E-03  -0.208908E-06
   212   0.750765E+04   0.940133E+00   0.228065E-02   0.254114E+01   0.657198E-07   0.168064E-03  -0.189325E-06
   213   0.751441E+04   0.956375E+00   0.228161E-02   0.450115E+01   0.653833E-07   0.166596E-03  -0.169906E-06
   214   0.752030E+04   0.974267E+00   0.228353E-02   0.648126E+01   0.650494E-07   0.165138E-03  -0.150649E-06
   215   0.752540E+04   0.994012E+00   0.228637E-02   0.848052E+01   0.647183E-07   0.163691E-03  -0.131548E-06
   216   0.752964E+04   0.101544E+01   0.229008E-02   0.104992E+02   0.643899E-07   0.162254E-03  -0.112602E-06
   217   0.753315E+04   0.103870E+01   0.229460E-02   0.125352E+02   0.640641E-07   0.160829E-03  -0.938064E-07
   218   0.753580E+04   0.106383E+01   0.229989E-02   0.145884E+02   0.637409E-07   0.159415E-03  -0.751580E-07
   219   0.753766E+04   0.109081E+01   0.230591E-02   0.166596E+02   0.634203E-07   0.158012E-03  -0.566533E-07
   220   0.753872E+04   0.111982E+01   0.231259E-02   0.187442E+02   0.631023E-07   0.156620E-03  -0.382891E-07
   221   0.753899E+04   0.115079E+01   0.231990E-02   0.208442E+02   0.627869E-07   0.155239E-03  -0.200620E-07
   222   0.753847E+04   0.118388E+01   0.232778E-02   0.229578E+02   0.624740E-07   0.153869E-03  -0.196851E-08
   223   0.753701E+04   0.121901E+01   0.233619E-02   0.250856E+02   0.621635E-07   0.152511E-03   0.159947E-07
   224   0.753490E+04   0.125621E+01   0.234507E-02   0.272237E+02   0.618556E-07   0.151164E-03   0.338311E-07
   225   0.753193E+04   0.129564E+01   0.235437E-02   0.293748E+02   0.615501E-07   0.149828E-03   0.515439E-07
   226   0.752816E+04   0.133729E+01   0.236405E-02   0.315351E+02   0.612469E-07   0.148504E-03   0.691367E-07
   227   0.752352E+04   0.138119E+01   0.237406E-02   0.337057E+02   0.609462E-07   0.147191E-03   0.866127E-07
   228   0.751817E+04   0.142734E+01   0.238435E-02   0.358851E+02   0.606479E-07   0.145889E-03   0.103975E-06
   229   0.751202E+04   0.147582E+01   0.239487E-02   0.380714E+02   0.603519E-07   0.144599E-03   0.121228E-06
