#    L    TT             EE             BB             TE             PP             TP             EP          
   180   0.699604E+04   0.105496E+01   0.392931E-02  -0.464065E+02   0.792149E-07   0.224505E-03  -0.851960E-06
   181   0.702641E+04   0.104106E+01   0.385756E-02  -0.453820E+02   0.787679E-07   0.222591E-03  -0.836446E-06
   182   0.705617E+04   0.102745E+01   0.378904E-02  -0.443211E+02   0.783247E-07   0.220696E-03  -0.820071E-06
   183   0.708525E+04   0.101408E+01   0.372370E-02  -0.432252E+02   0.778853E-07   0.218819E-03  -0.802893E-06
   184   0.711378E+04   0.100102E+01   0.366147E-02  -0.420936E+02   0.774498E-07   0.216961E-03  -0.784966E-06
   185   0.714169E+04   0.988441E+00   0.360229E-02  -0.409286E+02   0.770181E-07   0.215120E-03  -0.766349E-06
   186   0.716860E+04   0.976208E+00   0.354611E-02  -0.397273E+02   0.765900E-07   0.213297E-03  -0.747098E-06
   187   0.719520E+04   0.964475E+00   0.349286E-02  -0.384913E+02   0.761657E-07   0.211491E-03  -0.727269E-06
   188   0.722109E+04   0.953240E+00   0.344247E-02  -0.372219E+02   0.757449E-07   0.209701E-03  -0.706918E-06
   189   0.724620E+04   0.942551E+00   0.339490E-02  -0.359179E+02   0.753278E-07   0.207927E-03  -0.686104E-06
   190   0.727098E+04   0.932470E+00   0.335006E-02  -0.345815E+02   0.749143E-07   0.206168E-03  -0.664881E-06
   191   0.729469E+04   0.923033E+00   0.330792E-02  -0.332097E+02   0.745042E-07   0.204425E-03  -0.643307E-06
   192   0.731783E+04   0.914274E+00   0.326839E-02  -0.318049E+02   0.740977E-07   0.202696E-03  -0.621438E-06
   193   0.734019E+04   0.906247E+00   0.323142E-02  -0.303685E+02   0.736945E-07   0.200981E-03  -0.599331E-06
   194   0.736199E+04   0.898995E+00   0.319695E-02  -0.288985E+02   0.732948E-07   0.199279E-03  -0.577042E-06
   195   0.738299E+04   0.892566E+00   0.316492E-02  -0.273970E+02   0.728985E-07   0.197591E-03  -0.554629E-06
   196   0.740320E+04   0.887009E+00   0.313527E-02  -0.258634E+02   0.725054E-07   0.195915E-03  -0.532146E-06
   197   0.742277E+04   0.882380E+00   0.310793E-02  -0.242991E+02   0.721156E-07   0.194251E-03  -0.509651E-06
   198   0.744162E+04   0.878712E+00   0.308284E-02  -0.227037E+02   0.717291E-07   0.192600E-03  -0.487201E-06
   199   0.745974E+04   0.876056E+00   0.305994E-02  -0.210777E+02   0.713458E-07   0.190959E-03  -0.464851E-06
   200   0.747714E+04   0.874451E+00   0.303917E-02  -0.194220E+02   0.709656E-07   0.189329E-03  -0.442658E-06
   201   0.749373E+04   0.873969E+00   0.302047E-02  -0.177359E+02   0.705885E-07   0.187709E-03  -0.420670E-06
   202   0.750959E+04   0.874628E+00   0.300377E-02  -0.160212E+02   0.702145E-07   0.186100E-03  -0.398891E-06
   203   0.752466E+04   0.876498E+00   0.298902E-02  -0.142772E+02   0.698436E-07   0.184501E-03  -0.377319E-06
   204   0.753884E+04   0.879612E+00   0.297614E-02  -0.125072E+02   0.694758E-07   0.182912E-03  -0.355950E-06
   205   0.755229E+04   0.884026E+00   0.296508E-02  -0.107092E+02   0.691109E-07   0.181334E-03  -0.334780E-06
   206   0.756487E+04   0.889785E+00   0.295577E-02  -0.888464E+01   0.687490E-07   0.179767E-03  -0.313806E-06
   207   0.757672E+04   0.896925E+00   0.294814E-02  -0.703422E+01   0.683901E-07   0.178210E-03  -0.293024E-06
   208   0.758762E+04   0.905507E+00   0.294214E-02  -0.515867E+01   0.680341E-07   0.176663E-03  -0.272430E-06
   209   0.759771E+04   0.915565E+00   0.293770E-02  -0.325859E+01   0.676810E-07   0.175128E-03  -0.252020E-06
   210   0.760700E+04   0.927160E+00   0.293477E-02  -0.133508E+01   0.673308E-07   0.173603E-03  -0.231792E-06
   211   0.761549E+04   0.940334E+00   0.293326E-02   0.611559E+00   0.669834E-07   0.172089E-03  -0.211742E-06
   212   0.762302E+04   0.955126E+00   0.293313E-02   0.258018E+01   0.666389E-07   0.170585E-03  -0.191865E-06
   213   0.762982E+04   0.971592E+00   0.293431E-02   0.457060E+01   0.662972E-07   0.169093E-03  -0.172159E-06
   214   0.763575E+04   0.989735E+00   0.293673E-02   0.658140E+01   0.659582E-07   0.167611E-03  -0.152619E-06
   215   0.764087E+04   0.100976E+01   0.294033E-02   0.861161E+01   0.656220E-07   0.166141E-03  -0.133242E-06
   216   0.764511E+04   0.103149E+01   0.294506E-02   0.106615E+02   0.652885E-07   0.164681E-03  -0.114024E-06
   217   0.764862E+04   0.105509E+01   0.295084E-02   0.127289E+02   0.649577E-07   0.163232E-03  -0.949627E-07
   218   0.765125E+04   0.108057E+01   0.295761E-02   0.148138E+02   0.646295E-07   0.161795E-03  -0.760532E-07
   219   0.765308E+04   0.110795E+01   0.296531E-02   0.169169E+02   0.643040E-07   0.160369E-03  -0.572922E-07
