#    L    TT             EE             BB             TE             PP             TP             EP          
   170   0.654568E+04   0.117526E+01   0.350762E-02  -0.537139E+02   0.825756E-07   0.240763E-03  -0.932778E-06
   171   0.658110E+04   0.116134E+01   0.343065E-02  -0.530624E+02   0.820960E-07   0.238660E-03  -0.927522E-06
   172   0.661602E+04   0.114725E+01   0.335615E-02  -0.523755E+02   0.816206E-07   0.236582E-03  -0.921476E-06
   173   0.665036E+04   0.113299E+01   0.328416E-02  -0.516534E+02   0.811493E-07   0.234529E-03  -0.914543E-06
   174   0.668427E+04   0.111888E+01   0.321471E-02  -0.508959E+02   0.806822E-07   0.232499E-03  -0.906627E-06
   175   0.671767E+04   0.110461E+01   0.314783E-02  -0.501022E+02   0.802192E-07   0.230492E-03  -0.897633E-06
   176   0.675040E+04   0.109042E+01   0.308355E-02  -0.492723E+02   0.797602E-07   0.228507E-03  -0.887490E-06
   177   0.678261E+04   0.107624E+01   0.302184E-02  -0.484077E+02   0.793052E-07   0.226543E-03  -0.876228E-06
   178   0.681424E+04   0.106231E+01   0.296265E-02  -0.475070E+02   0.788542E-07   0.224600E-03  -0.863902E-06
   179   0.684526E+04   0.104833E+01   0.290593E-02  -0.465702E+02   0.784072E-07   0.222678E-03  -0.850568E-06
   180   0.687584E+04   0.103455E+01   0.285165E-02  -0.455989E+02   0.779640E-07   0.220775E-03  -0.836281E-06
   181   0.690574E+04   0.102097E+01   0.279975E-02  -0.445930E+02   0.775247E-07   0.218891E-03  -0.821096E-06
   182   0.693504E+04   0.100768E+01   0.275019E-02  -0.435512E+02   0.770892E-07   0.217027E-03  -0.805068E-06
   183   0.696366E+04   0.994618E+00   0.270293E-02  -0.424750E+02   0.766574E-07   0.215181E-03  -0.788252E-06
   184   0.699175E+04   0.981863E+00   0.265793E-02  -0.413637E+02   0.762295E-07   0.213353E-03  -0.770704E-06
   185   0.701923E+04   0.969577E+00   0.261513E-02  -0.402195E+02   0.758052E-07   0.211542E-03  -0.752479E-06
   186   0.704573E+04   0.957630E+00   0.257450E-02  -0.390395E+02   0.753845E-07   0.209749E-03  -0.733632E-06
   187   0.707192E+04   0.946174E+00   0.253599E-02  -0.378253E+02   0.749675E-07   0.207972E-03  -0.714219E-06
   188   0.709742E+04   0.935204E+00   0.249956E-02  -0.365784E+02   0.745540E-07   0.206211E-03  -0.694293E-06
   189   0.712215E+04   0.924769E+00   0.246516E-02  -0.352973E+02   0.741441E-07   0.204466E-03  -0.673911E-06
   190   0.714656E+04   0.914931E+00   0.243274E-02  -0.339844E+02   0.737377E-07   0.202737E-03  -0.653128E-06
   191   0.716991E+04   0.905723E+00   0.240227E-02  -0.326366E+02   0.733347E-07   0.201022E-03  -0.631998E-06
   192   0.719271E+04   0.897178E+00   0.237369E-02  -0.312563E+02   0.729351E-07   0.199321E-03  -0.610578E-06
   193   0.721474E+04   0.889353E+00   0.234697E-02  -0.298450E+02   0.725389E-07   0.197635E-03  -0.588921E-06
   194   0.723621E+04   0.882286E+00   0.232206E-02  -0.284006E+02   0.721461E-07   0.195961E-03  -0.567083E-06
   195   0.725691E+04   0.876026E+00   0.229891E-02  -0.269252E+02   0.717566E-07   0.194301E-03  -0.545120E-06
   196   0.727683E+04   0.870621E+00   0.227749E-02  -0.254182E+02   0.713702E-07   0.192653E-03  -0.523085E-06
   197   0.729612E+04   0.866126E+00   0.225773E-02  -0.238811E+02   0.709872E-07   0.191017E-03  -0.501035E-06
   198   0.731470E+04   0.862574E+00   0.223961E-02  -0.223132E+02   0.706073E-07   0.189393E-03  -0.479024E-06
   199   0.733257E+04   0.860013E+00   0.222308E-02  -0.207154E+02   0.702305E-07   0.187780E-03  -0.457108E-06
   200   0.734973E+04   0.858484E+00   0.220809E-02  -0.190883E+02   0.698568E-07   0.186178E-03  -0.435341E-06
   201   0.736610E+04   0.858056E+00   0.219459E-02  -0.174314E+02   0.694862E-07   0.184586E-03  -0.413768E-06
   202   0.738175E+04   0.858747E+00   0.218255E-02  -0.157462E+02   0.691186E-07   0.183004E-03  -0.392397E-06
   203   0.739662E+04   0.860627E+00   0.217191E-02  -0.140323E+02   0.687541E-07   0.181432E-03  -0.371224E-06
