#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.104609E+00   0.219116E+07   0.217672E+07   0.468695E+01  -0.675210E+01   0.000000E+00   0.218873E+07   0.218873E+07   0.218873E+07  -0.491686E-01   0.106777E+07   0.106761E+07   0.527664E+00
   0.110764E+00   0.207189E+07   0.206010E+07   0.395381E+01  -0.569548E+01   0.000000E+00   0.206991E+07   0.206991E+07   0.206991E+07  -0.464992E-01   0.100980E+07   0.100966E+07   0.419252E+00
   0.116918E+00   0.197271E+07   0.196339E+07   0.337938E+01  -0.486762E+01   0.000000E+00   0.197114E+07   0.197114E+07   0.197114E+07  -0.442805E-01   0.961617E+06   0.961501E+06   0.331543E+00
   0.123073E+00   0.187684E+07   0.186922E+07   0.290205E+01  -0.417988E+01   0.000000E+00   0.187556E+07   0.187556E+07   0.187556E+07  -0.421334E-01   0.914988E+06   0.914887E+06   0.273786E+00
   0.129228E+00   0.177404E+07   0.176709E+07   0.248808E+01  -0.358362E+01   0.000000E+00   0.177287E+07   0.177287E+07   0.177287E+07  -0.398265E-01   0.864889E+06   0.864795E+06   0.244619E+00
   0.135383E+00   0.166234E+07   0.165519E+07   0.212405E+01  -0.305942E+01   0.000000E+00   0.166114E+07   0.166114E+07   0.166114E+07  -0.373164E-01   0.810381E+06   0.810286E+06   0.235041E+00
   0.141538E+00   0.154814E+07   0.154036E+07   0.180953E+01  -0.260654E+01   0.000000E+00   0.154683E+07   0.154683E+07   0.154683E+07  -0.347486E-01   0.754619E+06   0.754520E+06   0.233307E+00
   0.147693E+00   0.144112E+07   0.143277E+07   0.154670E+01  -0.222810E+01   0.000000E+00   0.143972E+07   0.143972E+07   0.143972E+07  -0.323425E-01   0.702367E+06   0.702266E+06   0.229394E+00
   0.153848E+00   0.134887E+07   0.134035E+07   0.133402E+01  -0.192179E+01   0.000000E+00   0.134744E+07   0.134744E+07   0.134744E+07  -0.302695E-01   0.657351E+06   0.657250E+06   0.217742E+00
   0.160003E+00   0.127471E+07   0.126656E+07   0.116553E+01  -0.167907E+01   0.000000E+00   0.127334E+07   0.127334E+07   0.127334E+07  -0.286049E-01   0.621200E+06   0.621105E+06   0.197865E+00
   0.166158E+00   0.121737E+07   0.121002E+07   0.103225E+01  -0.148702E+01   0.000000E+00   0.121613E+07   0.121613E+07   0.121613E+07  -0.273197E-01   0.593290E+06   0.593204E+06   0.173067E+00
   0.172313E+00   0.117172E+07   0.116537E+07   0.923973E+00  -0.133096E+01   0.000000E+00   0.117066E+07   0.117066E+07   0.117066E+07  -0.262981E-01   0.571103E+06   0.571027E+06   0.148199E+00
   0.178468E+00   0.113099E+07   0.112553E+07   0.831511E+00  -0.119772E+01   0.000000E+00   0.113007E+07   0.113007E+07   0.113007E+07  -0.253864E-01   0.551304E+06   0.551236E+06   0.127494E+00
   0.184623E+00   0.108933E+07   0.108448E+07   0.748434E+00  -0.107802E+01   0.000000E+00   0.108851E+07   0.108851E+07   0.108851E+07  -0.244528E-01   0.531028E+06   0.530965E+06   0.113179E+00
   0.190778E+00   0.104372E+07   0.103912E+07   0.671580E+00  -0.967324E+00   0.000000E+00   0.104295E+07   0.104295E+07   0.104295E+07  -0.234292E-01   0.508800E+06   0.508740E+06   0.105141E+00
   0.196932E+00   0.994602E+06   0.989951E+06   0.600558E+00  -0.865047E+00   0.000000E+00   0.993821E+06   0.993821E+06   0.993821E+06  -0.223256E-01   0.484833E+06   0.484773E+06   0.101498E+00
   0.203087E+00   0.944838E+06   0.940001E+06   0.536397E+00  -0.772658E+00   0.000000E+00   0.944026E+06   0.944026E+06   0.944026E+06  -0.212070E-01   0.460541E+06   0.460481E+06   0.996349E-01
   0.209242E+00   0.897821E+06   0.892826E+06   0.480111E+00  -0.691605E+00   0.000000E+00   0.896983E+06   0.896983E+06   0.896983E+06  -0.201502E-01   0.437592E+06   0.437531E+06   0.972156E-01
   0.215397E+00   0.856135E+06   0.851130E+06   0.432001E+00  -0.622316E+00   0.000000E+00   0.855295E+06   0.855295E+06   0.855295E+06  -0.192137E-01   0.417255E+06   0.417195E+06   0.928932E-01
   0.221552E+00   0.821080E+06   0.816253E+06   0.391611E+00  -0.564131E+00   0.000000E+00   0.820269E+06   0.820269E+06   0.820269E+06  -0.184269E-01   0.400168E+06   0.400110E+06   0.865207E-01
   0.227707E+00   0.792219E+06   0.787723E+06   0.357713E+00  -0.515290E+00   0.000000E+00   0.791464E+06   0.791464E+06   0.791464E+06  -0.177798E-01   0.386115E+06   0.386061E+06   0.788814E-01
   0.233862E+00   0.767497E+06   0.763397E+06   0.328574E+00  -0.473302E+00   0.000000E+00   0.766809E+06   0.766809E+06   0.766809E+06  -0.172259E-01   0.374086E+06   0.374037E+06   0.711662E-01
   0.240017E+00   0.744498E+06   0.740762E+06   0.302613E+00  -0.435895E+00   0.000000E+00   0.743871E+06   0.743871E+06   0.743871E+06  -0.167106E-01   0.362896E+06   0.362850E+06   0.644643E-01
   0.246172E+00   0.721466E+06   0.717992E+06   0.278784E+00  -0.401563E+00   0.000000E+00   0.720883E+06   0.720883E+06   0.720883E+06  -0.161942E-01   0.351681E+06   0.351637E+06   0.594044E-01
   0.252327E+00   0.697376E+06   0.694038E+06   0.256490E+00  -0.369452E+00   0.000000E+00   0.696816E+06   0.696816E+06   0.696816E+06  -0.156535E-01   0.339940E+06   0.339898E+06   0.560197E-01
   0.258482E+00   0.672112E+06   0.668805E+06   0.235558E+00  -0.339305E+00   0.000000E+00   0.671557E+06   0.671557E+06   0.671557E+06  -0.150861E-01   0.327618E+06   0.327576E+06   0.538639E-01
   0.264637E+00   0.646649E+06   0.643321E+06   0.216203E+00  -0.311432E+00   0.000000E+00   0.646090E+06   0.646090E+06   0.646090E+06  -0.145140E-01   0.315194E+06   0.315153E+06   0.522772E-01
   0.270792E+00   0.622356E+06   0.619010E+06   0.198719E+00  -0.286252E+00   0.000000E+00   0.621794E+06   0.621794E+06   0.621794E+06  -0.139682E-01   0.303341E+06   0.303300E+06   0.506456E-01
   0.276947E+00   0.600165E+06   0.596848E+06   0.183204E+00  -0.263906E+00   0.000000E+00   0.599608E+06   0.599608E+06   0.599608E+06  -0.134698E-01   0.292518E+06   0.292478E+06   0.485826E-01
   0.283101E+00   0.580471E+06   0.577248E+06   0.169570E+00  -0.244266E+00   0.000000E+00   0.579930E+06   0.579930E+06   0.579930E+06  -0.130278E-01   0.282918E+06   0.282879E+06   0.460068E-01
