#    L    TT             EE             TE             PP             TP          
   228   0.763099E+04   0.144562E+01   0.364413E+02   0.284597E+07   0.251913E+04
   229   0.762470E+04   0.149481E+01   0.386624E+02   0.283217E+07   0.249689E+04
   230   0.761753E+04   0.154638E+01   0.408911E+02   0.281847E+07   0.247484E+04
   231   0.760948E+04   0.160042E+01   0.431264E+02   0.280489E+07   0.245299E+04
   232   0.760071E+04   0.165685E+01   0.453666E+02   0.279140E+07   0.243134E+04
   233   0.759112E+04   0.171592E+01   0.476100E+02   0.277802E+07   0.240990E+04
   234   0.758059E+04   0.177749E+01   0.498571E+02   0.276475E+07   0.238865E+04
   235   0.756932E+04   0.184164E+01   0.521062E+02   0.275157E+07   0.236761E+04
   236   0.755717E+04   0.190838E+01   0.543571E+02   0.273849E+07   0.234677E+04
   237   0.754422E+04   0.197780E+01   0.566081E+02   0.272552E+07   0.232614E+04
   238   0.753045E+04   0.204998E+01   0.588589E+02   0.271264E+07   0.230571E+04
   239   0.751596E+04   0.212478E+01   0.611086E+02   0.269985E+07   0.228549E+04
   240   0.750052E+04   0.220229E+01   0.633547E+02   0.268716E+07   0.226548E+04
   241   0.748441E+04   0.228267E+01   0.655978E+02   0.267457E+07   0.224567E+04
   242   0.746750E+04   0.236579E+01   0.678368E+02   0.266207E+07   0.222608E+04
   243   0.744978E+04   0.245179E+01   0.700701E+02   0.264966E+07   0.220669E+04
   244   0.743126E+04   0.254062E+01   0.722981E+02   0.263734E+07   0.218752E+04
   245   0.741193E+04   0.263236E+01   0.745178E+02   0.262512E+07   0.216855E+04
   246   0.739186E+04   0.272702E+01   0.767302E+02   0.261298E+07   0.214980E+04
   247   0.737107E+04   0.282454E+01   0.789331E+02   0.260092E+07   0.213127E+04
   248   0.734946E+04   0.292531E+01   0.811261E+02   0.258896E+07   0.211295E+04
   249   0.732720E+04   0.302880E+01   0.833084E+02   0.257708E+07   0.209484E+04
   250   0.730413E+04   0.313548E+01   0.854781E+02   0.256528E+07   0.207695E+04
   251   0.728040E+04   0.324506E+01   0.876358E+02   0.255356E+07   0.205928E+04
   252   0.725580E+04   0.335776E+01   0.897798E+02   0.254193E+07   0.204182E+04
   253   0.723069E+04   0.347335E+01   0.919084E+02   0.253038E+07   0.202457E+04
   254   0.720478E+04   0.359212E+01   0.940215E+02   0.251891E+07   0.200753E+04
   255   0.717816E+04   0.371376E+01   0.961187E+02   0.250752E+07   0.199070E+04
   256   0.715089E+04   0.383864E+01   0.981999E+02   0.249621E+07   0.197406E+04
   257   0.712299E+04   0.396631E+01   0.100257E+03   0.248497E+07   0.195762E+04
   258   0.709438E+04   0.409713E+01   0.102302E+03   0.247382E+07   0.194137E+04
   259   0.706514E+04   0.423095E+01   0.104319E+03   0.246274E+07   0.192531E+04
   260   0.703535E+04   0.436777E+01   0.106325E+03   0.245174E+07   0.190944E+04
   261   0.700487E+04   0.450749E+01   0.108295E+03   0.244082E+07   0.189375E+04
   262   0.697368E+04   0.465034E+01   0.110253E+03   0.242997E+07   0.187824E+04
   263   0.694219E+04   0.479609E+01   0.112190E+03   0.241920E+07   0.186290E+04
   264   0.690993E+04   0.494480E+01   0.114099E+03   0.240850E+07   0.184774E+04
   265   0.687699E+04   0.509639E+01   0.115973E+03   0.239787E+07   0.183274E+04
   266   0.684359E+04   0.525109E+01   0.117833E+03   0.238732E+07   0.181791E+04
   267   0.680952E+04   0.540851E+01   0.119656E+03   0.237684E+07   0.180324E+04
   268   0.677493E+04   0.556901E+01   0.121459E+03   0.236643E+07   0.178873E+04
   269   0.673967E+04   0.573230E+01   0.123232E+03   0.235609E+07   0.177437E+04
   270   0.670404E+04   0.589844E+01   0.124975E+03   0.234582E+07   0.176016E+04
   271   0.666783E+04   0.606735E+01   0.126690E+03   0.233562E+07   0.174610E+04
   272   0.663126E+04   0.623932E+01   0.128366E+03   0.232549E+07   0.173218E+04
   273   0.659411E+04   0.641376E+01   0.130021E+03   0.231543E+07   0.171840E+04
   274   0.655653E+04   0.659124E+01   0.131630E+03   0.230544E+07   0.170476E+04
   275   0.651846E+04   0.677124E+01   0.133217E+03   0.229551E+07   0.169125E+04
   276   0.648004E+04   0.695398E+01   0.134758E+03   0.228565E+07   0.167787E+04
   277   0.644106E+04   0.713944E+01   0.136275E+03   0.227586E+07   0.166462E+04
   278   0.640174E+04   0.732756E+01   0.137747E+03   0.226613E+07   0.165149E+04
   279   0.636201E+04   0.751825E+01   0.139180E+03   0.225647E+07   0.163848E+04
   280   0.632188E+04   0.771151E+01   0.140590E+03   0.224687E+07   0.162558E+04
   281   0.628150E+04   0.790739E+01   0.141952E+03   0.223733E+07   0.161279E+04
   282   0.624057E+04   0.810560E+01   0.143276E+03   0.222785E+07   0.160012E+04
   283   0.619940E+04   0.830635E+01   0.144559E+03   0.221844E+07   0.158754E+04
   284   0.615791E+04   0.850956E+01   0.145804E+03   0.220909E+07   0.157507E+04
   285   0.611611E+04   0.871523E+01   0.147008E+03   0.219980E+07   0.156270E+04
   286   0.607393E+04   0.892320E+01   0.148165E+03   0.219057E+07   0.155042E+04
   287   0.603144E+04   0.913347E+01   0.149289E+03   0.218139E+07   0.153823E+04
   288   0.598873E+04   0.934602E+01   0.150364E+03   0.217228E+07   0.152613E+04
   289   0.594572E+04   0.956078E+01   0.151400E+03   0.216323E+07   0.151411E+04
   290   0.590250E+04   0.977759E+01   0.152394E+03   0.215423E+07   0.150217E+04
   291   0.585905E+04   0.999718E+01   0.153332E+03   0.214529E+07   0.149031E+04
   292   0.581510E+04   0.102184E+02   0.154236E+03   0.213640E+07   0.147852E+04
   293   0.577124E+04   0.104410E+02   0.155084E+03   0.212757E+07   0.146680E+04
   294   0.572702E+04   0.106663E+02   0.155898E+03   0.211880E+07   0.145514E+04
   295   0.568283E+04   0.108929E+02   0.156655E+03   0.211008E+07   0.144355E+04
   296   0.563829E+04   0.111223E+02   0.157369E+03   0.210141E+07   0.143201E+04
   297   0.559363E+04   0.113521E+02   0.158041E+03   0.209279E+07   0.142054E+04
   298   0.554870E+04   0.115847E+02   0.158656E+03   0.208423E+07   0.140911E+04
   299   0.550374E+04   0.118193E+02   0.159220E+03   0.207572E+07   0.139773E+04
   300   0.545860E+04   0.120544E+02   0.159734E+03   0.206726E+07   0.138640E+04
   301   0.541335E+04   0.122915E+02   0.160205E+03   0.205885E+07   0.137510E+04
   302   0.536808E+04   0.125298E+02   0.160632E+03   0.205049E+07   0.136385E+04
   303   0.532271E+04   0.127700E+02   0.161002E+03   0.204218E+07   0.135264E+04
   304   0.527724E+04   0.130122E+02   0.161313E+03   0.203392E+07   0.134147E+04
   305   0.523176E+04   0.132547E+02   0.161582E+03   0.202571E+07   0.133034E+04
   306   0.518618E+04   0.134983E+02   0.161800E+03   0.201754E+07   0.131925E+04
   307   0.514060E+04   0.137430E+02   0.161960E+03   0.200943E+07   0.130820E+04
   308   0.509501E+04   0.139903E+02   0.162085E+03   0.200136E+07   0.129719E+04
   309   0.504948E+04   0.142371E+02   0.162145E+03   0.199334E+07   0.128621E+04
   310   0.500388E+04   0.144842E+02   0.162162E+03   0.198537E+07   0.127528E+04
   311   0.495836E+04   0.147338E+02   0.162121E+03   0.197744E+07   0.126438E+04
