#    L    TT             EE             BB             TE             PP             TP             EP          
   122   0.145661E+05   0.427822E+01   0.852625E-02  -0.155366E+03   0.359015E-06   0.125809E-02  -0.284316E-05
   123   0.147123E+05   0.431141E+01   0.840840E-02  -0.157612E+03   0.356675E-06   0.124414E-02  -0.294884E-05
   124   0.148587E+05   0.434290E+01   0.828928E-02  -0.159806E+03   0.354355E-06   0.123040E-02  -0.305546E-05
   125   0.150052E+05   0.437259E+01   0.816902E-02  -0.161949E+03   0.352053E-06   0.121686E-02  -0.316094E-05
   126   0.151519E+05   0.440051E+01   0.804776E-02  -0.164039E+03   0.349769E-06   0.120352E-02  -0.326322E-05
   127   0.152987E+05   0.442650E+01   0.792562E-02  -0.166072E+03   0.347505E-06   0.119037E-02  -0.336022E-05
   128   0.154454E+05   0.445066E+01   0.780275E-02  -0.168047E+03   0.345259E-06   0.117742E-02  -0.344987E-05
   129   0.155923E+05   0.447282E+01   0.767928E-02  -0.169961E+03   0.343031E-06   0.116465E-02  -0.353010E-05
   130   0.157391E+05   0.449295E+01   0.755534E-02  -0.171811E+03   0.340822E-06   0.115207E-02  -0.359884E-05
   131   0.158858E+05   0.451116E+01   0.743105E-02  -0.173596E+03   0.338632E-06   0.113966E-02  -0.365451E-05
   132   0.160325E+05   0.452731E+01   0.730653E-02  -0.175314E+03   0.336460E-06   0.112743E-02  -0.369751E-05
   133   0.161790E+05   0.454148E+01   0.718187E-02  -0.176963E+03   0.334306E-06   0.111537E-02  -0.372872E-05
   134   0.163254E+05   0.455367E+01   0.705717E-02  -0.178539E+03   0.332171E-06   0.110349E-02  -0.374901E-05
   135   0.164715E+05   0.456381E+01   0.693252E-02  -0.180044E+03   0.330054E-06   0.109177E-02  -0.375926E-05
   136   0.166174E+05   0.457191E+01   0.680803E-02  -0.181471E+03   0.327954E-06   0.108023E-02  -0.376036E-05
   137   0.167630E+05   0.457803E+01   0.668378E-02  -0.182822E+03   0.325872E-06   0.106886E-02  -0.375318E-05
   138   0.169082E+05   0.458213E+01   0.655989E-02  -0.184094E+03   0.323808E-06   0.105765E-02  -0.373860E-05
   139   0.170530E+05   0.458434E+01   0.643643E-02  -0.185285E+03   0.321761E-06   0.104662E-02  -0.371750E-05
   140   0.171975E+05   0.458444E+01   0.631352E-02  -0.186394E+03   0.319732E-06   0.103574E-02  -0.369076E-05
   141   0.173415E+05   0.458253E+01   0.619125E-02  -0.187418E+03   0.317720E-06   0.102504E-02  -0.365926E-05
   142   0.174851E+05   0.457866E+01   0.606972E-02  -0.188356E+03   0.315725E-06   0.101449E-02  -0.362387E-05
   143   0.176283E+05   0.457286E+01   0.594902E-02  -0.189206E+03   0.313747E-06   0.100411E-02  -0.358546E-05
   144   0.177708E+05   0.456505E+01   0.582925E-02  -0.189966E+03   0.311786E-06   0.993884E-03  -0.354493E-05
   145   0.179127E+05   0.455538E+01   0.571051E-02  -0.190635E+03   0.309841E-06   0.983820E-03  -0.350314E-05
   146   0.180542E+05   0.454363E+01   0.559290E-02  -0.191211E+03   0.307913E-06   0.973914E-03  -0.346097E-05
   147   0.181949E+05   0.453004E+01   0.547652E-02  -0.191690E+03   0.306002E-06   0.964165E-03  -0.341929E-05
   148   0.183349E+05   0.451445E+01   0.536145E-02  -0.192074E+03   0.304107E-06   0.954571E-03  -0.337899E-05
   149   0.184742E+05   0.449694E+01   0.524780E-02  -0.192359E+03   0.302228E-06   0.945131E-03  -0.334094E-05
   150   0.186127E+05   0.447760E+01   0.513567E-02  -0.192541E+03   0.300365E-06   0.935845E-03  -0.330601E-05
   151   0.187505E+05   0.445637E+01   0.502514E-02  -0.192623E+03   0.298518E-06   0.926709E-03  -0.327488E-05
   152   0.188873E+05   0.443320E+01   0.491626E-02  -0.192602E+03   0.296687E-06   0.917722E-03  -0.324743E-05
   153   0.190233E+05   0.440832E+01   0.480906E-02  -0.192475E+03   0.294872E-06   0.908880E-03  -0.322336E-05
   154   0.191584E+05   0.438177E+01   0.470356E-02  -0.192245E+03   0.293072E-06   0.900180E-03  -0.320234E-05
   155   0.192925E+05   0.435361E+01   0.459981E-02  -0.191910E+03   0.291288E-06   0.891618E-03  -0.318406E-05
   156   0.194255E+05   0.432390E+01   0.449784E-02  -0.191469E+03   0.289519E-06   0.883192E-03  -0.316821E-05
   157   0.195577E+05   0.429268E+01   0.439767E-02  -0.190921E+03   0.287765E-06   0.874897E-03  -0.315447E-05
   158   0.196888E+05   0.426010E+01   0.429935E-02  -0.190267E+03   0.286026E-06   0.866731E-03  -0.314253E-05
   159   0.198187E+05   0.422606E+01   0.420289E-02  -0.189505E+03   0.284303E-06   0.858691E-03  -0.313208E-05
   160   0.199476E+05   0.419075E+01   0.410835E-02  -0.188633E+03   0.282595E-06   0.850773E-03  -0.312280E-05
   161   0.200753E+05   0.415432E+01   0.401574E-02  -0.187653E+03   0.280901E-06   0.842974E-03  -0.311437E-05
   162   0.202018E+05   0.411667E+01   0.392509E-02  -0.186565E+03   0.279222E-06   0.835290E-03  -0.310650E-05
   163   0.203271E+05   0.407792E+01   0.383645E-02  -0.185366E+03   0.277557E-06   0.827719E-03  -0.309885E-05
   164   0.204511E+05   0.403821E+01   0.374985E-02  -0.184057E+03   0.275907E-06   0.820257E-03  -0.309112E-05
   165   0.205739E+05   0.399752E+01   0.366531E-02  -0.182635E+03   0.274272E-06   0.812900E-03  -0.308300E-05
   166   0.206953E+05   0.395605E+01   0.358287E-02  -0.181103E+03   0.272650E-06   0.805647E-03  -0.307417E-05
   167   0.208155E+05   0.391364E+01   0.350257E-02  -0.179459E+03   0.271043E-06   0.798492E-03  -0.306431E-05
   168   0.209340E+05   0.387071E+01   0.342442E-02  -0.177702E+03   0.269450E-06   0.791434E-03  -0.305313E-05
   169   0.210512E+05   0.382702E+01   0.334848E-02  -0.175831E+03   0.267871E-06   0.784468E-03  -0.304029E-05
   170   0.211669E+05   0.378285E+01   0.327476E-02  -0.173846E+03   0.266305E-06   0.777593E-03  -0.302549E-05
   171   0.212809E+05   0.373826E+01   0.320330E-02  -0.171746E+03   0.264753E-06   0.770803E-03  -0.300842E-05
   172   0.213934E+05   0.369321E+01   0.313414E-02  -0.169531E+03   0.263215E-06   0.764097E-03  -0.298876E-05
   173   0.215041E+05   0.364779E+01   0.306730E-02  -0.167201E+03   0.261690E-06   0.757470E-03  -0.296620E-05
   174   0.216133E+05   0.360232E+01   0.300282E-02  -0.164755E+03   0.260179E-06   0.750920E-03  -0.294043E-05
   175   0.217208E+05   0.355658E+01   0.294073E-02  -0.162192E+03   0.258681E-06   0.744443E-03  -0.291114E-05
   176   0.218264E+05   0.351084E+01   0.288105E-02  -0.159513E+03   0.257196E-06   0.738037E-03  -0.287809E-05
   177   0.219303E+05   0.346515E+01   0.282375E-02  -0.156718E+03   0.255724E-06   0.731699E-03  -0.284138E-05
   178   0.220323E+05   0.341983E+01   0.276880E-02  -0.153806E+03   0.254265E-06   0.725429E-03  -0.280120E-05
   179   0.221325E+05   0.337470E+01   0.271614E-02  -0.150779E+03   0.252819E-06   0.719224E-03  -0.275773E-05
   180   0.222309E+05   0.333009E+01   0.266574E-02  -0.147639E+03   0.251386E-06   0.713082E-03  -0.271114E-05
   181   0.223273E+05   0.328613E+01   0.261756E-02  -0.144385E+03   0.249965E-06   0.707004E-03  -0.266163E-05
   182   0.224218E+05   0.324299E+01   0.257156E-02  -0.141017E+03   0.248556E-06   0.700986E-03  -0.260937E-05
   183   0.225143E+05   0.320071E+01   0.252769E-02  -0.137536E+03   0.247159E-06   0.695028E-03  -0.255455E-05
   184   0.226048E+05   0.315949E+01   0.248591E-02  -0.133943E+03   0.245775E-06   0.689128E-03  -0.249734E-05
   185   0.226933E+05   0.311958E+01   0.244619E-02  -0.130241E+03   0.244403E-06   0.683284E-03  -0.243793E-05
   186   0.227794E+05   0.308096E+01   0.240848E-02  -0.126426E+03   0.243042E-06   0.677496E-03  -0.237650E-05
   187   0.228637E+05   0.304387E+01   0.237274E-02  -0.122502E+03   0.241693E-06   0.671760E-03  -0.231323E-05
   188   0.229459E+05   0.300842E+01   0.233893E-02  -0.118469E+03   0.240356E-06   0.666076E-03  -0.224830E-05
   189   0.230258E+05   0.297476E+01   0.230700E-02  -0.114327E+03   0.239030E-06   0.660443E-03  -0.218190E-05
   190   0.231038E+05   0.294305E+01   0.227693E-02  -0.110079E+03   0.237716E-06   0.654859E-03  -0.211420E-05
   191   0.231792E+05   0.291343E+01   0.224866E-02  -0.105722E+03   0.236413E-06   0.649322E-03  -0.204538E-05
   192   0.232525E+05   0.288602E+01   0.222215E-02  -0.101259E+03   0.235121E-06   0.643831E-03  -0.197564E-05
   193   0.233234E+05   0.286100E+01   0.219737E-02  -0.966914E+02   0.233840E-06   0.638384E-03  -0.190514E-05
   194   0.233922E+05   0.283850E+01   0.217428E-02  -0.920184E+02   0.232569E-06   0.632979E-03  -0.183407E-05
   195   0.234585E+05   0.281868E+01   0.215282E-02  -0.872424E+02   0.231310E-06   0.627617E-03  -0.176262E-05
   196   0.235224E+05   0.280167E+01   0.213297E-02  -0.823631E+02   0.230060E-06   0.622293E-03  -0.169096E-05
   197   0.235840E+05   0.278765E+01   0.211467E-02  -0.773825E+02   0.228822E-06   0.617009E-03  -0.161927E-05
   198   0.236431E+05   0.277674E+01   0.209790E-02  -0.723004E+02   0.227593E-06   0.611761E-03  -0.154773E-05
   199   0.236998E+05   0.276909E+01   0.208260E-02  -0.671182E+02   0.226375E-06   0.606548E-03  -0.147654E-05
   200   0.237540E+05   0.276485E+01   0.206873E-02  -0.618369E+02   0.225167E-06   0.601369E-03  -0.140586E-05
   201   0.238057E+05   0.276419E+01   0.205626E-02  -0.564567E+02   0.223969E-06   0.596222E-03  -0.133584E-05
   202   0.238548E+05   0.276722E+01   0.204515E-02  -0.509809E+02   0.222780E-06   0.591108E-03  -0.126652E-05
   203   0.239014E+05   0.277410E+01   0.203534E-02  -0.454111E+02   0.221601E-06   0.586026E-03  -0.119786E-05
   204   0.239453E+05   0.278496E+01   0.202680E-02  -0.397522E+02   0.220432E-06   0.580977E-03  -0.112987E-05
   205   0.239868E+05   0.279995E+01   0.201949E-02  -0.340043E+02   0.219273E-06   0.575961E-03  -0.106253E-05
   206   0.240256E+05   0.281921E+01   0.201335E-02  -0.281707E+02   0.218123E-06   0.570978E-03  -0.995827E-06
   207   0.240619E+05   0.284285E+01   0.200836E-02  -0.222542E+02   0.216983E-06   0.566029E-03  -0.929750E-06
   208   0.240955E+05   0.287105E+01   0.200446E-02  -0.162573E+02   0.215851E-06   0.561113E-03  -0.864286E-06
   209   0.241266E+05   0.290392E+01   0.200161E-02  -0.101826E+02   0.214729E-06   0.556230E-03  -0.799423E-06
   210   0.241550E+05   0.294161E+01   0.199977E-02  -0.403322E+01   0.213617E-06   0.551382E-03  -0.735150E-06
   211   0.241810E+05   0.298427E+01   0.199891E-02   0.218868E+01   0.212513E-06   0.546567E-03  -0.671454E-06
