#    L    TT             EE             TE             PP             TP          
   179   0.221317E+05   0.336867E+01  -0.150799E+03   0.116736E+08   0.122163E+05
   180   0.222301E+05   0.332421E+01  -0.147660E+03   0.116081E+08   0.121126E+05
   181   0.223265E+05   0.328040E+01  -0.144407E+03   0.115432E+08   0.120099E+05
   182   0.224210E+05   0.323740E+01  -0.141039E+03   0.114788E+08   0.119082E+05
   183   0.225134E+05   0.319527E+01  -0.137560E+03   0.114150E+08   0.118075E+05
   184   0.226040E+05   0.315419E+01  -0.133968E+03   0.113518E+08   0.117078E+05
   185   0.226925E+05   0.311442E+01  -0.130266E+03   0.112890E+08   0.116090E+05
   186   0.227785E+05   0.307593E+01  -0.126451E+03   0.112268E+08   0.115112E+05
   187   0.228628E+05   0.303897E+01  -0.122527E+03   0.111652E+08   0.114142E+05
   188   0.229450E+05   0.300365E+01  -0.118494E+03   0.111040E+08   0.113181E+05
   189   0.230248E+05   0.297011E+01  -0.114353E+03   0.110434E+08   0.112229E+05
   190   0.231028E+05   0.293853E+01  -0.110104E+03   0.109833E+08   0.111284E+05
   191   0.231782E+05   0.290902E+01  -0.105747E+03   0.109237E+08   0.110348E+05
   192   0.232515E+05   0.288173E+01  -0.101284E+03   0.108646E+08   0.109419E+05
   193   0.233224E+05   0.285682E+01  -0.967166E+02   0.108059E+08   0.108498E+05
   194   0.233912E+05   0.283443E+01  -0.920434E+02   0.107478E+08   0.107584E+05
   195   0.234575E+05   0.281471E+01  -0.872670E+02   0.106901E+08   0.106676E+05
   196   0.235213E+05   0.279780E+01  -0.823874E+02   0.106330E+08   0.105776E+05
   197   0.235829E+05   0.278387E+01  -0.774064E+02   0.105763E+08   0.104882E+05
   198   0.236420E+05   0.277305E+01  -0.723238E+02   0.105200E+08   0.103993E+05
   199   0.236987E+05   0.276549E+01  -0.671410E+02   0.104642E+08   0.103111E+05
   200   0.237529E+05   0.276134E+01  -0.618592E+02   0.104089E+08   0.102235E+05
   201   0.238045E+05   0.276075E+01  -0.564784E+02   0.103540E+08   0.101363E+05
   202   0.238537E+05   0.276386E+01  -0.510020E+02   0.102996E+08   0.100498E+05
   203   0.239002E+05   0.277081E+01  -0.454314E+02   0.102456E+08   0.996374E+04
   204   0.239442E+05   0.278174E+01  -0.397718E+02   0.101920E+08   0.987825E+04
   205   0.239856E+05   0.279679E+01  -0.340232E+02   0.101389E+08   0.979331E+04
   206   0.240244E+05   0.281611E+01  -0.281888E+02   0.100862E+08   0.970893E+04
   207   0.240607E+05   0.283981E+01  -0.222715E+02   0.100339E+08   0.962511E+04
   208   0.240943E+05   0.286806E+01  -0.162738E+02   0.998210E+07   0.954184E+04
   209   0.241253E+05   0.290097E+01  -0.101982E+02   0.993067E+07   0.945914E+04
   210   0.241538E+05   0.293871E+01  -0.404794E+01   0.987965E+07   0.937700E+04
   211   0.241797E+05   0.298141E+01   0.217486E+01   0.982904E+07   0.929543E+04
   212   0.242029E+05   0.302920E+01   0.846708E+01   0.977884E+07   0.921444E+04
   213   0.242237E+05   0.308223E+01   0.148266E+02   0.972905E+07   0.913402E+04
   214   0.242418E+05   0.314060E+01   0.212500E+02   0.967965E+07   0.905418E+04
   215   0.242573E+05   0.320460E+01   0.277345E+02   0.963065E+07   0.897492E+04
   216   0.242703E+05   0.327414E+01   0.342783E+02   0.958204E+07   0.889625E+04
   217   0.242807E+05   0.334950E+01   0.408773E+02   0.953383E+07   0.881816E+04
   218   0.242886E+05   0.343076E+01   0.475296E+02   0.948599E+07   0.874067E+04
   219   0.242939E+05   0.351804E+01   0.542339E+02   0.943854E+07   0.866378E+04
   220   0.242966E+05   0.361159E+01   0.609836E+02   0.939146E+07   0.858748E+04
   221   0.242968E+05   0.371143E+01   0.677787E+02   0.934476E+07   0.851178E+04
   222   0.242945E+05   0.381783E+01   0.746157E+02   0.929843E+07   0.843668E+04
   223   0.242895E+05   0.393080E+01   0.814931E+02   0.925246E+07   0.836220E+04
   224   0.242821E+05   0.405045E+01   0.884050E+02   0.920686E+07   0.828832E+04
   225   0.242721E+05   0.417703E+01   0.953523E+02   0.916162E+07   0.821506E+04
   226   0.242595E+05   0.431065E+01   0.102329E+03   0.911673E+07   0.814242E+04
   227   0.242443E+05   0.445140E+01   0.109334E+03   0.907219E+07   0.807040E+04
   228   0.242267E+05   0.459940E+01   0.116365E+03   0.902800E+07   0.799900E+04
   229   0.242066E+05   0.475482E+01   0.123417E+03   0.898416E+07   0.792822E+04
   230   0.241838E+05   0.491777E+01   0.130489E+03   0.894065E+07   0.785808E+04
   231   0.241585E+05   0.508841E+01   0.137578E+03   0.889748E+07   0.778857E+04
   232   0.241307E+05   0.526678E+01   0.144680E+03   0.885465E+07   0.771970E+04
   233   0.241004E+05   0.545321E+01   0.151793E+03   0.881214E+07   0.765147E+04
   234   0.240674E+05   0.564766E+01   0.158913E+03   0.876996E+07   0.758388E+04
   235   0.240319E+05   0.585029E+01   0.166039E+03   0.872811E+07   0.751693E+04
   236   0.239939E+05   0.606121E+01   0.173167E+03   0.868657E+07   0.745064E+04
   237   0.239534E+05   0.628060E+01   0.180293E+03   0.864534E+07   0.738499E+04
   238   0.239103E+05   0.650864E+01   0.187417E+03   0.860443E+07   0.732001E+04
   239   0.238648E+05   0.674528E+01   0.194534E+03   0.856382E+07   0.725568E+04
   240   0.238166E+05   0.699070E+01   0.201641E+03   0.852352E+07   0.719201E+04
   241   0.237661E+05   0.724516E+01   0.208736E+03   0.848351E+07   0.712901E+04
   242   0.237131E+05   0.750859E+01   0.215816E+03   0.844381E+07   0.706668E+04
   243   0.236575E+05   0.778127E+01   0.222877E+03   0.840439E+07   0.700502E+04
   244   0.235995E+05   0.806322E+01   0.229918E+03   0.836527E+07   0.694403E+04
   245   0.235389E+05   0.835461E+01   0.236934E+03   0.832642E+07   0.688372E+04
   246   0.234759E+05   0.865555E+01   0.243925E+03   0.828786E+07   0.682409E+04
   247   0.234105E+05   0.896606E+01   0.250885E+03   0.824958E+07   0.676515E+04
   248   0.233426E+05   0.928663E+01   0.257812E+03   0.821157E+07   0.670689E+04
   249   0.232723E+05   0.961683E+01   0.264705E+03   0.817383E+07   0.664933E+04
   250   0.231996E+05   0.995722E+01   0.271558E+03   0.813636E+07   0.659246E+04
   251   0.231245E+05   0.103076E+02   0.278371E+03   0.809915E+07   0.653628E+04
   252   0.230468E+05   0.106681E+02   0.285140E+03   0.806220E+07   0.648079E+04
   253   0.229671E+05   0.110384E+02   0.291862E+03   0.802551E+07   0.642597E+04
   254   0.228849E+05   0.114188E+02   0.298535E+03   0.798908E+07   0.637182E+04
   255   0.228004E+05   0.118090E+02   0.305157E+03   0.795290E+07   0.631832E+04
   256   0.227138E+05   0.122091E+02   0.311725E+03   0.791698E+07   0.626545E+04
   257   0.226250E+05   0.126187E+02   0.318230E+03   0.788130E+07   0.621322E+04
   258   0.225340E+05   0.130382E+02   0.324683E+03   0.784587E+07   0.616160E+04
   259   0.224410E+05   0.134672E+02   0.331066E+03   0.781069E+07   0.611059E+04
   260   0.223459E+05   0.139057E+02   0.337392E+03   0.777575E+07   0.606018E+04
   261   0.222488E+05   0.143536E+02   0.343638E+03   0.774106E+07   0.601035E+04
   262   0.221496E+05   0.148110E+02   0.349823E+03   0.770660E+07   0.596108E+04
   263   0.220488E+05   0.152777E+02   0.355939E+03   0.767239E+07   0.591238E+04
